Subject,Left Comparison Type,Right Comparison Type,Correct Side,Chosen Side
6,many,2,1.0,1.0
6,68,0,1.0,1.0
6,16,4,1.0,1.0
6,68,2,1.0,1.0
6,16,many,0.0,0.0
6,2,4,0.0,0.0
6,many,68,1.0,1.0
6,2,0,1.0,1.0
6,0,4,0.0,0.0
6,0,16,0.0,0.0
6,4,many,0.0,0.0
6,2,16,0.0,0.0
6,16,68,0.0,1.0
6,16,many,0.0,0.0
6,0,2,0.0,0.0
6,2,4,0.0,0.0
6,many,68,1.0,1.0
6,4,0,1.0,1.0
6,68,16,1.0,1.0
6,many,0,1.0,1.0
6,4,many,0.0,0.0
6,68,0,1.0,1.0
6,2,68,0.0,0.0
6,0,16,0.0,0.0
6,16,4,1.0,1.0
6,16,2,1.0,1.0
6,2,many,0.0,0.0
6,68,4,1.0,1.0
6,16,4,1.0,1.0
6,2,4,0.0,0.0
6,many,16,1.0,1.0
6,68,many,0.0,0.0
6,68,4,1.0,1.0
6,4,0,1.0,1.0
6,0,68,0.0,0.0
6,4,many,0.0,0.0
6,16,68,0.0,0.0
6,16,0,1.0,1.0
6,0,many,0.0,0.0
6,many,2,1.0,1.0
6,0,2,0.0,0.0
6,68,2,1.0,1.0
6,16,2,1.0,1.0
6,many,4,1.0,1.0
6,68,16,1.0,0.0
6,16,many,0.0,0.0
6,68,0,1.0,1.0
6,0,4,0.0,0.0
6,16,0,1.0,1.0
6,4,2,1.0,0.0
6,68,many,0.0,0.0
6,4,16,0.0,1.0
6,2,many,0.0,0.0
6,4,68,0.0,0.0
6,2,16,0.0,0.0
6,many,0,1.0,1.0
6,68,2,1.0,1.0
6,2,0,1.0,1.0
6,many,68,1.0,1.0
6,4,0,1.0,1.0
6,0,many,0.0,0.0
6,0,16,0.0,0.0
6,68,16,1.0,1.0
6,0,2,0.0,0.0
6,4,68,0.0,1.0
6,4,16,0.0,1.0
6,16,2,1.0,1.0
6,many,2,1.0,1.0
6,16,many,0.0,0.0
6,many,4,1.0,1.0
6,68,0,1.0,1.0
6,68,2,1.0,1.0
6,4,2,1.0,1.0
6,68,2,1.0,1.0
6,4,0,1.0,1.0
6,many,68,1.0,0.0
6,2,many,0.0,0.0
6,2,16,0.0,1.0
6,0,many,0.0,0.0
6,4,68,0.0,0.0
6,68,0,1.0,1.0
6,0,16,0.0,0.0
6,many,16,1.0,1.0
6,4,2,1.0,1.0
6,4,many,0.0,0.0
6,68,16,1.0,0.0
6,0,2,0.0,0.0
6,16,4,1.0,0.0
6,2,68,0.0,0.0
6,0,4,0.0,0.0
6,2,many,0.0,0.0
6,2,16,0.0,1.0
6,4,16,0.0,0.0
6,0,2,0.0,0.0
6,4,many,0.0,0.0
6,0,68,0.0,0.0
6,16,0,1.0,1.0
6,0,many,0.0,0.0
6,many,68,1.0,0.0
6,16,68,0.0,0.0
6,4,2,1.0,1.0
6,68,4,1.0,1.0
6,many,16,1.0,1.0
6,many,0,1.0,1.0
6,2,many,0.0,0.0
6,68,0,1.0,1.0
6,many,4,1.0,1.0
6,0,2,0.0,0.0
6,68,16,1.0,1.0
6,16,0,1.0,1.0
6,4,0,1.0,1.0
6,2,68,0.0,0.0
6,16,many,0.0,0.0
6,2,4,0.0,0.0
6,68,many,0.0,1.0
6,4,16,0.0,0.0
6,16,2,1.0,1.0
6,4,68,0.0,0.0
6,many,2,1.0,1.0
6,4,0,1.0,1.0
6,2,4,0.0,0.0
6,2,0,1.0,1.0
6,4,68,0.0,0.0
6,0,many,0.0,0.0
6,16,4,1.0,0.0
6,68,many,0.0,0.0
6,many,4,1.0,1.0
6,0,68,0.0,0.0
6,68,2,1.0,1.0
6,0,16,0.0,0.0
6,2,16,0.0,0.0
6,16,68,0.0,1.0
6,many,16,1.0,0.0
8,many,2,1.0,1.0
8,0,many,0.0,0.0
8,0,68,0.0,0.0
8,2,0,1.0,0.0
8,68,16,1.0,1.0
8,4,2,1.0,1.0
8,4,many,0.0,0.0
8,68,many,0.0,0.0
8,4,16,0.0,1.0
8,many,16,1.0,0.0
8,68,4,1.0,1.0
8,0,4,0.0,0.0
8,2,68,0.0,0.0
8,16,2,1.0,0.0
8,0,16,0.0,0.0
8,16,68,0.0,0.0
8,2,16,0.0,0.0
8,0,16,0.0,0.0
8,68,many,0.0,1.0
8,2,4,0.0,0.0
8,2,many,0.0,0.0
8,many,4,1.0,1.0
8,2,68,0.0,0.0
8,4,0,1.0,1.0
8,many,0,1.0,1.0
8,0,68,0.0,0.0
8,4,16,0.0,0.0
8,2,0,1.0,1.0
8,16,many,0.0,0.0
8,68,4,1.0,1.0
8,68,many,0.0,0.0
8,16,many,0.0,0.0
8,2,4,0.0,0.0
8,68,16,1.0,1.0
8,4,0,1.0,1.0
8,68,2,1.0,1.0
8,4,many,0.0,0.0
8,16,4,1.0,1.0
8,0,2,0.0,0.0
8,many,2,1.0,1.0
8,2,16,0.0,0.0
8,0,68,0.0,0.0
8,0,many,0.0,0.0
8,16,0,1.0,1.0
8,68,4,1.0,0.0
8,many,0,1.0,1.0
8,0,2,0.0,0.0
8,68,2,1.0,1.0
8,68,0,1.0,1.0
8,2,many,0.0,1.0
8,16,many,0.0,0.0
8,4,2,1.0,1.0
8,16,4,1.0,1.0
8,68,4,1.0,1.0
8,4,many,0.0,0.0
8,16,0,1.0,1.0
8,68,many,0.0,0.0
8,0,4,0.0,0.0
8,16,2,1.0,0.0
8,16,68,0.0,0.0
8,4,many,0.0,0.0
8,4,68,0.0,0.0
8,2,0,1.0,1.0
8,0,many,0.0,0.0
8,2,68,0.0,1.0
8,0,16,0.0,0.0
8,4,0,1.0,1.0
8,16,68,0.0,0.0
8,2,4,0.0,0.0
8,many,16,1.0,1.0
8,many,68,1.0,1.0
8,many,2,1.0,1.0
8,16,4,1.0,0.0
8,2,16,0.0,0.0
8,68,0,1.0,1.0
8,4,many,0.0,0.0
8,4,2,1.0,0.0
8,4,0,1.0,1.0
8,2,many,0.0,0.0
8,0,many,0.0,0.0
8,2,68,0.0,0.0
8,2,0,1.0,1.0
8,many,16,1.0,1.0
8,68,0,1.0,1.0
